pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;der von Swytz teil ze Fryenbach umbkament.« 36 Vgl. Chronik des Hans Fründ, S. 132, Nr. 127: »und bliben da der vyenden, die ze tod erschla
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;unting« im Mittelalter: Gagné: Counting the Dead. 37 Chronik des Hans Fründ, S. 293. 38 Vgl. Tschudi: Chronicon Helveticum, Teil 3, 356 (nam
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd(?:s)?\s+chronik;"am 22. Juli 1443 auf (ebd., S. 158, Nr. 153). Auffällig ist in Fründs Chronik verschiedentlich das »Bodycounting« der Kriegsgefallenen; sieh"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;enenlisten 167 1443 bei Freienbach.35 Zumindest summarisch notierte Fründ auch die Namen der prominenten Gefallenen auf der zürcherischen Se
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;her Gefallenen.36 Wie aus dem Ende seiner Chronik hervorgeht, hatte Fründ sich auch vorgenommen, die »namen die so in dem vergangnen krieg u
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;e 1446,48 Belagerung von Waldshut 146849). 35 Vgl. Chronik des Hans Fründ, S. 132, Nr. 128: »Diss sind dera namen, die uf der von Swytz teil
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;er von Swytz teil ze Fryenbach umbkament.« 36 Vgl. Chronik des Hans Fründ, S. 132, Nr. 127: »und bliben da der vyenden, die ze tod erschlage
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;"Fryenbach uf Grützen; dera waren vier ertrunken.« Summarisch zählte Fründ auch die prominenten Gefallenen auf Zürcher Seite beim Gefecht vor"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);\bfr[üu]nd\b;ting« im Mittelalter: Gagné: Counting the Dead. 37 Chronik des Hans Fründ, S. 293. 38 Vgl. Tschudi: Chronicon Helveticum, Teil 3, 356 (namen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);aegidius\s+tschudi;beinahe akribischen Formen verzeichnete der Glarner Chronist Aegidius Tschudi (1505–1572) in seinem Chronicon Helveticum wiederholt Listen
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;nahe akribischen Formen verzeichnete der Glarner Chronist Aegidius Tschudi (1505–1572) in seinem Chronicon Helveticum wiederholt Listen mit
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;ederholt Listen mit den Gefallenen der einzelnen Schlachten, wobei Tschudi diese vor allem aus Jahrzeitbüchern und Schlachtjahrzeitrodeln au
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;gné: Counting the Dead. 37 Chronik des Hans Fründ, S. 293. 38 Vgl. Tschudi: Chronicon Helveticum, Teil 3, 356 (namentlich aufgezählt werden
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;Daneben einzelne prominente Gefallene auf Habsburgs Seite. 39 Vgl. Tschudi: Chronicon Helveticum, Teil 4, S. 283. 40 Vgl. Tschudi: Chronicon
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;te. 39 Vgl. Tschudi: Chronicon Helveticum, Teil 4, S. 283. 40 Vgl. Tschudi: Chronicon Helveticum, Teil 6, S. 184–187 (die Gefallenen aus den
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Tschudi (Aegidius Tschudi, Chronicon Helveticum);\btschudi\b;. ebd., S. 253–255 (Gefallene aus Glarus, Uri und Schwyz). 43 Vgl. Tschudi: Chronicon Helveticum, Teil 9, S. 110–112 (Gefallene aus Uri, Unt
